AAAAMMDD	tMin	tMax	tMoy	djuM	djuC	tag
20040811	19.30	28.70	24.00	0.00	0.00	0
20040812	17.70	31.00	24.35	0.00	0.03	0
20040813	14.60	25.90	20.25	0.00	0.70	0
20040814	13.60	25.80	19.70	0.00	1.02	0
20040815	11.50	28.00	19.75	0.00	1.60	0
20040816	13.60	25.80	19.70	0.00	1.02	0
20040817	16.70	26.40	21.55	0.00	0.18	0
20040818	15.20	31.90	23.55	0.00	0.42	0
20040819	18.00	29.80	23.90	0.00	0.00	0
20040820	15.50	26.80	21.15	0.00	0.43	0
20040821	14.80	22.20	18.50	0.00	0.84	0
20040822	8.30	24.00	16.15	1.85	3.29	0
20040823	10.30	26.30	18.30	0.00	2.17	0
20040824	16.80	20.20	18.50	0.00	0.27	0
20040825	13.70	26.60	20.15	0.00	0.95	0
20040826	13.80	19.60	16.70	1.30	1.61	0
20040827	11.60	24.60	18.10	0.00	1.84	0
20040828	11.70	26.20	18.95	0.00	1.65	0
20040829	13.90	26.20	20.05	0.00	0.90	0
20040830	12.60	26.60	19.60	0.00	1.31	0
20040831	15.70	24.00	19.85	0.00	0.45	0
20040901	9.50	25.40	17.45	0.55	2.59	0
20040902	11.60	26.30	18.95	0.00	1.68	0
20040903	13.70	29.70	21.70	0.00	0.83	0
20040904	14.60	30.10	22.35	0.00	0.59	0
20040905	14.90	29.60	22.25	0.00	0.52	0
20040906	16.40	29.30	22.85	0.00	0.21	0
20040907	16.80	28.50	22.65	0.00	0.15	0
20040908	15.60	28.00	21.80	0.00	0.39	0
20040909	14.20	29.00	21.60	0.00	0.71	0
20040910	13.80	29.30	21.55	0.00	0.81	0
20040911	15.20	28.50	21.85	0.00	0.47	0
20040912	16.40	21.90	19.15	0.00	0.32	0
20040913	10.00	27.30	18.65	0.00	2.19	0
20040914	15.10	22.40	18.75	0.00	0.72	0
20040915	14.90	20.50	17.70	0.30	0.97	0
20040916	8.70	20.20	14.45	3.55	3.90	0
20040917	7.70	22.10	14.90	3.10	3.92	0
20040918	7.50	25.80	16.65	1.35	3.37	0
20040919	9.40	24.10	16.75	1.25	2.80	0
20040920	10.10	23.90	17.00	1.00	2.53	0
20040921	9.60	22.70	16.15	1.85	2.93	200409
20040922	7.90	20.70	14.30	3.70	4.16	200409
20040923	10.80	21.50	16.15	1.85	2.61	200409
20040924	12.80	19.20	16.00	2.00	2.19	200409
20040925	5.60	18.00	11.80	6.20	6.20	200409
20040926	9.90	17.90	13.90	4.10	4.10	200409
20040927	5.90	20.40	13.15	4.85	5.21	200409
20040928	7.30	21.70	14.50	3.50	4.20	200409
20040929	10.70	22.60	16.65	1.35	2.46	200409
20040930	10.30	25.00	17.65	0.35	2.31	200409
20041001	8.30	25.30	16.80	1.20	3.10	200410
20041002	9.10	23.80	16.45	1.55	2.98	200410
20041003	10.80	24.10	17.45	0.55	2.21	200410
20041004	9.60	27.50	18.55	0.00	2.33	200410
20041005	8.70	29.80	19.25	0.00	2.47	200410
20041006	15.80	21.60	18.70	0.00	0.53	200410
20041007	13.90	21.30	17.60	0.40	1.28	200410
20041008	10.80	23.70	17.25	0.75	2.26	200410
20041009	11.00	22.40	16.70	1.30	2.37	200410
20041010	11.50	20.60	16.05	1.95	2.47	200410
20041011	10.30	19.70	15.00	3.00	3.27	200410
20041012	7.90	19.20	13.55	4.45	4.60	200410
20041013	12.30	20.20	16.25	1.75	2.18	200410
20041014	10.20	12.50	11.35	6.65	6.65	200410
20041015	9.20	15.60	12.40	5.60	5.60	200410
20041016	5.70	12.50	9.10	8.90	8.90	200410
20041017	3.90	14.50	9.20	8.80	8.80	200410
20041018	3.40	11.90	7.65	10.35	10.35	200410
20041019	9.20	13.80	11.50	6.50	6.50	200410
20041020	10.10	18.10	14.10	3.90	3.91	200410
20041021	12.90	20.20	16.55	1.45	1.90	200410
20041022	9.70	22.90	16.30	1.70	2.86	200410
20041023	9.20	24.00	16.60	1.40	2.90	200410
20041024	5.00	25.90	15.45	2.55	4.44	200410
20041025	8.10	20.70	14.40	3.60	4.06	200410
20041026	10.10	11.70	10.90	7.10	7.10	200410
20041027	8.40	15.20	11.80	6.20	6.20	200410
20041028	11.00	14.90	12.95	5.05	5.05	200410
20041029	9.50	13.50	11.50	6.50	6.50	200410
20041030	4.10	16.80	10.45	7.55	7.55	200410
20041031	7.60	14.80	11.20	6.80	6.80	200410
20041101	9.70	13.60	11.65	6.35	6.35	200411
20041102	8.10	14.30	11.20	6.80	6.80	200411
20041103	9.90	15.80	12.85	5.15	5.15	200411
20041104	7.20	12.90	10.05	7.95	7.95	200411
20041105	8.20	16.60	12.40	5.60	5.60	200411
20041106	8.80	11.00	9.90	8.10	8.10	200411
20041107	5.40	13.00	9.20	8.80	8.80	200411
20041108	-0.80	9.70	4.45	13.55	13.55	200411
20041109	-0.90	8.10	3.60	14.40	14.40	200411
20041110	-3.40	7.80	2.20	15.80	15.80	200411
20041111	-0.40	7.10	3.35	14.65	14.65	200411
20041112	2.60	9.90	6.25	11.75	11.75	200411
20041113	1.10	9.40	5.25	12.75	12.75	200411
20041114	1.80	7.90	4.85	13.15	13.15	200411
20041115	-4.00	4.70	0.35	17.65	17.65	200411
20041116	-5.00	7.00	1.00	17.00	17.00	200411
20041117	-4.60	9.20	2.30	15.70	15.70	200411
20041118	-4.10	10.60	3.25	14.75	14.75	200411
20041119	-0.70	9.80	4.55	13.45	13.45	200411
20041120	-0.30	9.00	4.35	13.65	13.65	200411
20041121	1.90	10.90	6.40	11.60	11.60	200411
20041122	-2.90	13.10	5.10	12.90	12.90	200411
20041123	-3.30	13.40	5.05	12.95	12.95	200411
20041124	-2.80	11.40	4.30	13.70	13.70	200411
20041125	-3.60	10.70	3.55	14.45	14.45	200411
20041126	-4.00	11.90	3.95	14.05	14.05	200411
20041127	-2.20	11.50	4.65	13.35	13.35	200411
20041128	-2.50	13.00	5.25	12.75	12.75	200411
20041129	3.90	7.10	5.50	12.50	12.50	200411
20041130	2.60	5.10	3.85	14.15	14.15	200411
20041201	-0.40	11.40	5.50	12.50	12.50	200412
20041202	-0.20	12.30	6.05	11.95	11.95	200412
20041203	3.00	12.90	7.95	10.05	10.05	200412
20041204	-2.60	10.00	3.70	14.30	14.30	200412
20041205	4.40	6.40	5.40	12.60	12.60	200412
20041206	4.20	6.30	5.25	12.75	12.75	200412
20041207	2.10	7.50	4.80	13.20	13.20	200412
20041208	-1.90	4.90	1.50	16.50	16.50	200412
20041209	0.60	5.80	3.20	14.80	14.80	200412
20041210	-0.10	6.30	3.10	14.90	14.90	200412
20041211	-1.80	2.40	0.30	17.70	17.70	200412
20041212	-1.70	2.30	0.30	17.70	17.70	200412
20041213	-5.60	6.90	0.65	17.35	17.35	200412
20041214	-5.30	7.00	0.85	17.15	17.15	200412
20041215	-3.50	4.30	0.40	17.60	17.60	200412
20041216	-3.90	8.10	2.10	15.90	15.90	200412
20041217	2.10	8.50	5.30	12.70	12.70	200412
20041218	0.60	7.90	4.25	13.75	13.75	200412
20041219	1.10	6.10	3.60	14.40	14.40	200412
20041220	2.10	4.20	3.15	14.85	14.85	200412
20041221	1.00	2.30	1.65	16.35	16.35	200412
20041222	-2.40	2.20	-0.10	18.10	18.10	200412
20041223	-3.90	7.70	1.90	16.10	16.10	200412
20041224	-2.70	7.40	2.35	15.65	15.65	200412
20041225	-4.10	4.80	0.35	17.65	17.65	200412
20041226	0.20	2.40	1.30	16.70	16.70	200412
20041227	1.80	3.70	2.75	15.25	15.25	200412
20041228	0.20	2.80	1.50	16.50	16.50	200412
20041229	0.20	4.80	2.50	15.50	15.50	200412
20041230	-5.70	3.70	-1.00	19.00	19.00	200412
20041231	-7.00	3.40	-1.80	19.80	19.80	200412
20050101	-3.40	7.40	2.00	16.00	16.00	200501
20050102	-1.60	7.30	2.85	15.15	15.15	200501
20050103	0.00	8.00	4.00	14.00	14.00	200501
20050104	-5.20	7.70	1.25	16.75	16.75	200501
20050105	-5.30	8.40	1.55	16.45	16.45	200501
20050106	-2.20	8.10	2.95	15.05	15.05	200501
20050107	-1.00	10.20	4.60	13.40	13.40	200501
20050108	-4.50	10.50	3.00	15.00	15.00	200501
20050109	-2.50	12.80	5.15	12.85	12.85	200501
20050110	-4.20	9.80	2.80	15.20	15.20	200501
20050111	-4.30	9.40	2.55	15.45	15.45	200501
20050112	-5.30	8.30	1.50	16.50	16.50	200501
20050113	2.00	8.10	5.05	12.95	12.95	200501
20050114	-1.70	8.10	3.20	14.80	14.80	200501
20050115	-5.60	5.80	0.10	17.90	17.90	200501
20050116	-6.70	5.00	-0.85	18.85	18.85	200501
20050117	-5.80	7.50	0.85	17.15	17.15	200501
20050118	-3.80	5.30	0.75	17.25	17.25	200501
20050119	0.70	3.90	2.30	15.70	15.70	200501
20050120	-2.20	6.70	2.25	15.75	15.75	200501
20050121	2.60	8.10	5.35	12.65	12.65	200501
20050122	4.70	6.40	5.55	12.45	12.45	200501
20050123	2.20	4.50	3.35	14.65	14.65	200501
20050124	-0.10	2.60	1.25	16.75	16.75	200501
20050125	-4.50	1.40	-1.55	19.55	19.55	200501
20050126	-6.10	0.90	-2.60	20.60	20.60	200501
20050127	-7.00	-0.50	-3.75	21.75	21.75	200501
20050128	-7.00	0.50	-3.25	21.25	21.25	200501
20050129	-7.40	0.20	-3.60	21.60	21.60	200501
20050130	-5.20	-1.00	-3.10	21.10	21.10	200501
20050131	-10.00	2.90	-3.55	21.55	21.55	200501
20050201	-6.20	1.50	-2.35	20.35	20.35	200502
20050202	-3.50	7.20	1.85	16.15	16.15	200502
20050203	-1.60	8.40	3.40	14.60	14.60	200502
20050204	-5.60	7.60	1.00	17.00	17.00	200502
20050205	-6.40	8.60	1.10	16.90	16.90	200502
20050206	-0.30	10.40	5.05	12.95	12.95	200502
20050207	-5.00	9.40	2.20	15.80	15.80	200502
20050208	-5.50	10.60	2.55	15.45	15.45	200502
20050209	-5.50	10.50	2.50	15.50	15.50	200502
20050210	-5.50	11.70	3.10	14.90	14.90	200502
20050211	-3.30	4.50	0.60	17.40	17.40	200502
20050212	2.30	10.70	6.50	11.50	11.50	200502
20050213	2.70	8.30	5.50	12.50	12.50	200502
20050214	0.00	5.40	2.70	15.30	15.30	200502
20050215	-1.00	3.90	1.45	16.55	16.55	200502
20050216	-3.50	3.10	-0.20	18.20	18.20	200502
20050217	-0.10	4.40	2.15	15.85	15.85	200502
20050218	-0.50	4.10	1.80	16.20	16.20	200502
20050219	-2.50	-0.10	-1.30	19.30	19.30	200502
20050220	-2.40	4.60	1.10	16.90	16.90	200502
20050221	-2.70	3.90	0.60	17.40	17.40	200502
20050222	-1.80	3.80	1.00	17.00	17.00	200502
20050223	-1.10	3.30	1.10	16.90	16.90	200502
20050224	-2.00	5.00	1.50	16.50	16.50	200502
20050225	-5.80	5.60	-0.10	18.10	18.10	200502
20050226	-6.50	5.50	-0.50	18.50	18.50	200502
20050227	-1.70	4.50	1.40	16.60	16.60	200502
20050228	-4.10	-0.70	-2.40	20.40	20.40	200502
20050301	-8.70	4.00	-2.35	20.35	20.35	200503
20050302	-8.00	8.10	0.05	17.95	17.95	200503
20050303	-5.80	9.40	1.80	16.20	16.20	200503
20050304	0.00	3.60	1.80	16.20	16.20	200503
20050305	-0.50	2.50	1.00	17.00	17.00	200503
20050306	-2.20	5.00	1.40	16.60	16.60	200503
20050307	-4.10	4.00	-0.05	18.05	18.05	200503
20050308	-3.40	8.60	2.60	15.40	15.40	200503
20050309	-1.60	10.20	4.30	13.70	13.70	200503
20050310	-4.00	10.10	3.05	14.95	14.95	200503
20050311	-3.50	12.00	4.25	13.75	13.75	200503
20050312	-3.20	11.80	4.30	13.70	13.70	200503
20050313	-3.00	12.50	4.75	13.25	13.25	200503
20050314	-3.00	17.60	7.30	10.70	10.70	200503
20050315	1.60	20.80	11.20	6.80	7.20	200503
20050316	0.20	23.10	11.65	6.35	7.24	200503
20050317	1.30	23.90	12.60	5.40	6.52	200503
20050318	1.10	23.80	12.45	5.55	6.64	200503
20050319	2.00	24.10	13.05	4.95	6.15	200503
20050320	2.40	23.60	13.00	5.00	6.07	200503
20050321	3.50	19.30	11.40	6.60	6.75	200503
20050322	9.00	14.20	11.60	6.40	6.40	200503
20050323	8.60	20.50	14.55	3.45	3.87	200503
20050324	9.40	16.50	12.95	5.05	5.05	200503
20050325	8.60	20.20	14.40	3.60	3.95	200503
20050326	7.40	18.50	12.95	5.05	5.10	200503
20050327	9.50	19.40	14.45	3.55	3.75	200503
20050328	9.20	18.60	13.90	4.10	4.16	200503
20050329	9.00	20.40	14.70	3.30	3.70	200503
20050330	9.10	17.10	13.10	4.90	4.90	200503
20050331	3.90	13.60	8.75	9.25	9.25	200503
20050401	5.30	20.10	12.70	5.30	5.59	200504
20050402	6.20	19.90	13.05	4.95	5.21	200504
20050403	4.40	20.80	12.60	5.40	5.82	200504
20050404	2.50	19.80	11.15	6.85	7.07	200504
20050405	3.60	21.30	12.45	5.55	6.07	200504
20050406	4.10	22.80	13.45	4.55	5.45	200504
20050407	10.70	15.90	13.30	4.70	4.70	200504
20050408	7.50	9.30	8.40	9.60	9.60	200504
20050409	2.40	6.20	4.30	13.70	13.70	200504
20050410	4.40	12.20	8.30	9.70	9.70	200504
20050411	1.70	14.90	8.30	9.70	9.70	200504
20050412	1.60	13.40	7.50	10.50	10.50	200504
20050413	8.30	15.80	12.05	5.95	5.95	200504
20050414	6.30	21.80	14.05	3.95	4.65	200504
20050415	8.20	15.60	11.90	6.10	6.10	200504
20050416	0.30	4.40	2.35	15.65	15.65	200504
20050417	0.30	2.80	1.55	16.45	16.45	200504
20050418	0.50	13.20	6.85	11.15	11.15	200504
20050419	7.10	15.00	11.05	6.95	6.95	200504
20050420	5.30	10.20	7.75	10.25	10.25	200504
20050421	4.90	16.90	10.90	7.10	7.10	200504
20050422	2.00	21.20	11.60	6.40	6.88	200504
20050423	9.50	17.10	13.30	4.70	4.70	200504
20050424	11.00	15.70	13.35	4.65	4.65	200504
20050425	8.20	18.10	13.15	4.85	4.86	200504
20050426	6.40	23.30	14.85	3.15	4.27	200504
20050427	6.30	22.30	14.30	3.70	4.53	200504
20050428	8.00	26.70	17.35	0.65	3.05	200504
20050429	8.30	28.80	18.55	0.00	2.70	200504
20050430	9.10	29.90	19.50	0.00	2.31	200504
20050501	10.30	29.50	19.90	0.00	1.91	200505
20050502	11.00	27.30	19.15	0.00	1.82	200505
20050503	14.90	24.60	19.75	0.00	0.66	200505
20050504	11.30	20.70	16.00	2.00	2.54	200505
20050505	10.60	17.40	14.00	4.00	4.00	200505
20050506	9.50	17.40	13.45	4.55	4.55	200505
20050507	6.80	20.20	13.50	4.50	4.83	200505
20050508	9.40	19.70	14.55	3.45	3.70	200505
20050509	3.20	20.10	11.65	6.35	6.63	200505
20050510	8.70	17.10	12.90	5.10	5.10	200505
20050511	7.30	21.10	14.20	3.80	4.34	200505
20050512	8.40	18.10	13.25	4.75	4.76	200505
20050513	8.90	25.00	16.95	1.05	2.89	200505
20050514	13.30	15.70	14.50	3.50	3.50	200505
20050515	9.30	23.50	16.40	1.60	2.93	200505
20050516	11.50	17.10	14.30	3.70	3.70	200505
20050517	8.60	19.00	13.80	4.20	4.32	200505
20050518	9.90	12.20	11.05	6.95	6.95	200505
20050519	9.30	22.80	16.05	1.95	3.05	200505
20050520	7.30	29.10	18.20	0.00	3.06	200505
20050521	10.90	26.60	18.75	0.00	1.92	200505
20050522	14.50	22.60	18.55	0.00	0.92	200505
20050523	10.40	16.10	13.25	4.75	4.75	200505
20050524	6.40	23.40	14.90	3.10	4.25	200505
20050525	8.60	27.50	18.05	0.00	2.72	200505
20050526	12.40	32.00	22.20	0.00	1.12	200505
20050527	14.10	31.70	22.90	0.00	0.67	200505
20050528	14.40	31.60	23.00	0.00	0.60	200505
20050529	16.20	32.50	24.35	0.00	0.23	200505
20050530	15.60	21.00	18.30	0.00	0.64	200505
20050531	11.70	23.90	17.80	0.20	1.87	200505
20050601	9.90	25.70	17.80	0.20	2.39	0
20050602	11.10	28.30	19.70	0.00	1.71	0
20050603	13.00	31.20	22.10	0.00	0.98	0
20050604	16.00	22.30	19.15	0.00	0.43	0
20050605	11.80	24.70	18.25	0.00	1.75	0
20050606	13.20	23.80	18.50	0.00	1.30	0
20050607	13.50	25.30	19.40	0.00	1.08	0
20050608	10.00	21.90	15.95	2.05	2.90	0
20050609	7.70	21.90	14.80	3.20	3.96	0
20050610	6.10	22.70	14.40	3.60	4.53	0
20050611	7.50	26.80	17.15	0.85	3.24	0
20050612	11.20	27.60	19.40	0.00	1.73	0
20050613	13.70	27.00	20.35	0.00	0.93	0
20050614	15.20	19.20	17.20	0.80	1.05	0
20050615	15.30	25.80	20.55	0.00	0.51	0
20050616	14.40	27.50	20.95	0.00	0.70	0
20050617	14.60	29.30	21.95	0.00	0.60	0
20050618	16.70	30.40	23.55	0.00	0.16	0
20050619	17.50	31.30	24.40	0.00	0.05	0
20050620	17.40	32.20	24.80	0.00	0.06	0
20050621	17.00	32.10	24.55	0.00	0.11	0
20050622	17.70	33.20	25.45	0.00	0.03	0
20050623	17.70	33.80	25.75	0.00	0.03	0
20050624	18.60	33.20	25.90	0.00	0.00	0
20050625	17.90	29.60	23.75	0.00	0.01	0
20050626	16.90	33.80	25.35	0.00	0.12	0
20050627	18.80	34.80	26.80	0.00	0.00	0
20050628	18.10	34.60	26.35	0.00	0.00	0
20050629	18.70	28.70	23.70	0.00	0.00	0
20050630	16.80	28.00	22.40	0.00	0.15	0
20050701	15.40	21.80	18.60	0.00	0.65	0
20050702	11.70	27.40	19.55	0.00	1.57	0
20050703	14.60	31.10	22.85	0.00	0.57	0
20050704	16.90	30.20	23.55	0.00	0.13	0
20050705	13.00	22.90	17.95	0.05	1.46	0
20050706	9.70	21.30	15.50	2.50	3.16	0
20050707	12.60	17.20	14.90	3.10	3.10	0
20050708	10.20	19.30	14.75	3.25	3.43	0
20050709	8.60	23.00	15.80	2.20	3.33	0
20050710	12.90	24.10	18.50	0.00	1.38	0
20050711	13.00	26.60	19.80	0.00	1.17	0
20050712	13.30	27.80	20.55	0.00	1.02	0
20050713	14.70	28.80	21.75	0.00	0.59	0
20050714	14.10	33.30	23.70	0.00	0.64	0
20050715	15.80	34.80	25.30	0.00	0.28	0
20050716	17.30	31.50	24.40	0.00	0.07	0
20050717	15.00	34.30	24.65	0.00	0.44	0
20050718	16.60	28.40	22.50	0.00	0.18	0
20050719	15.70	26.40	21.05	0.00	0.39	0
20050720	12.70	26.50	19.60	0.00	1.28	0
20050721	13.60	27.50	20.55	0.00	0.94	0
20050722	12.70	27.10	19.90	0.00	1.24	0
20050723	12.40	26.10	19.25	0.00	1.41	0
20050724	15.80	31.00	23.40	0.00	0.31	0
20050725	17.00	30.20	23.60	0.00	0.11	0
20050726	20.00	31.50	25.75	0.00	0.00	0
20050727	16.90	34.10	25.50	0.00	0.12	0
20050728	16.70	36.30	26.50	0.00	0.14	0
20050729	18.90	30.10	24.50	0.00	0.00	0
20050730	19.00	28.30	23.65	0.00	0.00	0
20050731	14.40	26.00	20.20	0.00	0.76	0
20050801	13.00	26.20	19.60	0.00	1.20	0
20050802	15.70	19.90	17.80	0.20	0.71	0
20050803	15.50	22.90	19.20	0.00	0.55	0
20050804	10.90	26.30	18.60	0.00	1.94	0
20050805	10.70	27.20	18.95	0.00	1.94	0
20050806	16.10	27.20	21.65	0.00	0.29	0
20050807	15.60	21.40	18.50	0.00	0.61	0
20050808	9.00	24.40	16.70	1.30	2.93	0
20050809	7.80	27.50	17.65	0.35	3.03	0
20050810	11.30	25.80	18.55	0.00	1.84	0
20050811	17.20	18.70	17.95	0.05	0.24	0
20050812	14.50	27.40	20.95	0.00	0.68	0
20050813	12.70	27.00	19.85	0.00	1.25	0
20050814	10.70	25.40	18.05	0.00	2.11	0
20050815	10.90	22.90	16.90	1.10	2.33	0
20050816	10.20	25.00	17.60	0.40	2.35	0
20050817	11.00	28.30	19.65	0.00	1.75	0
20050818	16.10	26.70	21.40	0.00	0.30	0
20050819	16.50	28.00	22.25	0.00	0.20	0
20050820	16.30	23.80	20.05	0.00	0.30	0
20050821	14.20	17.40	15.80	2.20	2.20	0
20050822	14.70	16.70	15.70	2.30	2.30	0
20050823	12.30	25.50	18.90	0.00	1.49	0
20050824	15.70	26.10	20.90	0.00	0.40	0
20050825	14.50	26.20	20.35	0.00	0.72	0
20050826	16.70	25.20	20.95	0.00	0.19	0
20050827	13.30	20.30	16.80	1.20	1.70	0
20050828	13.50	22.70	18.10	0.00	1.28	0
20050829	13.10	29.20	21.15	0.00	1.02	0
20050830	14.20	30.30	22.25	0.00	0.68	0
20050831	15.30	32.20	23.75	0.00	0.40	0
20050901	15.60	30.90	23.25	0.00	0.35	0
20050902	15.20	30.10	22.65	0.00	0.44	0
20050903	16.50	31.90	24.20	0.00	0.18	0
20050904	15.90	30.90	23.40	0.00	0.29	0
20050905	14.90	26.40	20.65	0.00	0.60	0
20050906	15.80	22.70	19.25	0.00	0.47	0
20050907	15.00	24.90	19.95	0.00	0.62	0
20050908	12.30	23.20	17.75	0.25	1.71	0
20050909	15.00	24.90	19.95	0.00	0.62	0
20050910	11.40	25.20	18.30	0.00	1.85	0
20050911	13.00	19.00	16.00	2.00	2.15	0
20050912	12.30	22.80	17.55	0.45	1.76	0
20050913	12.40	24.90	18.65	0.00	1.50	0
20050914	12.50	24.90	18.70	0.00	1.46	0
20050915	13.70	26.10	19.90	0.00	0.97	0
20050916	12.00	27.10	19.55	0.00	1.48	0
20050917	12.90	15.20	14.05	3.95	3.95	0
20050918	10.30	13.00	11.65	6.35	6.35	0
20050919	10.30	14.20	12.25	5.75	5.75	0
20050920	11.40	16.30	13.85	4.15	4.15	0
20050921	11.70	19.60	15.65	2.35	2.61	200509
20050922	7.40	23.30	15.35	2.65	3.82	200509
20050923	8.40	24.40	16.40	1.60	3.19	200509
20050924	8.90	25.60	17.25	0.75	2.81	200509
20050925	9.10	22.80	15.95	2.05	3.14	200509
20050926	13.70	23.60	18.65	0.00	1.13	200509
20050927	13.10	23.00	18.05	0.00	1.41	200509
20050928	13.20	24.80	19.00	0.00	1.22	200509
20050929	14.90	20.50	17.70	0.30	0.97	200509
20050930	8.10	19.70	13.90	4.10	4.34	200509
20051001	6.70	17.70	12.20	5.80	5.80	200510
20051002	9.60	11.00	10.30	7.70	7.70	200510
20051003	9.20	14.30	11.75	6.25	6.25	200510
20051004	10.30	16.80	13.55	4.45	4.45	200510
20051005	9.90	18.10	14.00	4.00	4.01	200510
20051006	11.60	19.50	15.55	2.45	2.69	200510
20051007	12.10	21.20	16.65	1.35	2.08	200510
20051008	6.60	22.20	14.40	3.60	4.41	200510
20051009	5.70	22.30	14.00	4.00	4.81	200510
20051010	5.70	22.80	14.25	3.75	4.70	200510
20051011	6.80	23.00	14.90	3.10	4.15	200510
20051012	9.60	18.30	13.95	4.05	4.08	200510
20051013	10.00	20.70	15.35	2.65	3.15	200510
20051014	8.80	21.40	15.10	2.90	3.56	200510
20051015	6.70	23.00	14.85	3.15	4.19	200510
20051016	8.10	22.10	15.10	2.90	3.73	200510
20051017	6.30	18.20	12.25	5.75	5.77	200510
20051018	9.70	16.60	13.15	4.85	4.85	200510
20051019	11.60	14.20	12.90	5.10	5.10	200510
20051020	13.10	20.30	16.70	1.30	1.79	200510
20051021	9.30	19.00	14.15	3.85	3.97	200510
20051022	11.50	23.60	17.55	0.45	1.99	200510
20051023	11.70	18.00	14.85	3.15	3.15	200510
20051024	6.90	20.30	13.60	4.40	4.75	200510
20051025	6.30	17.80	12.05	5.95	5.95	200510
20051026	4.90	21.50	13.20	4.80	5.39	200510
20051027	7.10	24.50	15.80	2.20	3.74	200510
20051028	5.90	23.10	14.50	3.50	4.54	200510
20051029	5.70	20.10	12.90	5.10	5.40	200510
20051030	3.90	21.00	12.45	5.55	6.01	200510
20051031	8.50	19.00	13.75	4.25	4.37	200510
20051101	9.00	18.90	13.95	4.05	4.16	200511
20051102	5.70	19.10	12.40	5.60	5.73	200511
20051103	8.00	21.70	14.85	3.15	3.87	200511
20051104	10.10	16.80	13.45	4.55	4.55	200511
20051105	9.90	13.60	11.75	6.25	6.25	200511
20051106	5.60	12.50	9.05	8.95	8.95	200511
20051107	0.70	14.70	7.70	10.30	10.30	200511
20051108	0.30	15.80	8.05	9.95	9.95	200511
20051109	1.90	17.80	9.85	8.15	8.15	200511
20051110	9.00	12.60	10.80	7.20	7.20	200511
20051111	7.80	17.00	12.40	5.60	5.60	200511
20051112	2.10	14.40	8.25	9.75	9.75	200511
20051113	6.10	13.20	9.65	8.35	8.35	200511
20051114	2.10	12.40	7.25	10.75	10.75	200511
20051115	6.50	12.60	9.55	8.45	8.45	200511
20051116	3.60	12.80	8.20	9.80	9.80	200511
20051117	3.90	8.50	6.20	11.80	11.80	200511
20051118	-2.80	7.30	2.25	15.75	15.75	200511
20051119	-4.40	8.00	1.80	16.20	16.20	200511
20051120	-5.10	7.40	1.15	16.85	16.85	200511
20051121	-3.70	5.40	0.85	17.15	17.15	200511
20051122	-4.00	6.40	1.20	16.80	16.80	200511
20051123	0.70	2.00	1.35	16.65	16.65	200511
20051124	-2.10	1.90	-0.10	18.10	18.10	200511
20051125	-3.10	0.10	-1.50	19.50	19.50	200511
20051126	-6.50	2.70	-1.90	19.90	19.90	200511
20051127	-10.70	-1.10	-5.90	23.90	23.90	200511
20051128	-6.80	1.70	-2.55	20.55	20.55	200511
20051129	-1.60	3.40	0.90	17.10	17.10	200511
20051130	0.10	3.60	1.85	16.15	16.15	200511
20051201	-2.00	4.90	1.45	16.55	16.55	200512
20051202	-2.60	8.00	2.70	15.30	15.30	200512
20051203	2.00	8.70	5.35	12.65	12.65	200512
20051204	3.60	11.00	7.30	10.70	10.70	200512
20051205	4.30	6.60	5.45	12.55	12.55	200512
20051206	1.90	7.00	4.45	13.55	13.55	200512
20051207	2.10	7.10	4.60	13.40	13.40	200512
20051208	0.50	2.60	1.55	16.45	16.45	200512
20051209	0.30	6.20	3.25	14.75	14.75	200512
20051210	1.50	2.90	2.20	15.80	15.80	200512
20051211	0.10	2.60	1.35	16.65	16.65	200512
20051212	-1.20	2.20	0.50	17.50	17.50	200512
20051213	-0.20	3.50	1.65	16.35	16.35	200512
20051214	1.00	2.90	1.95	16.05	16.05	200512
20051215	-1.20	4.20	1.50	16.50	16.50	200512
20051216	-4.70	1.60	-1.55	19.55	19.55	200512
20051217	0.60	6.50	3.55	14.45	14.45	200512
20051218	-3.60	3.80	0.10	17.90	17.90	200512
20051219	-7.10	2.40	-2.35	20.35	20.35	200512
20051220	-6.40	5.30	-0.55	18.55	18.55	200512
20051221	-5.70	1.10	-2.30	20.30	20.30	200512
20051222	-1.80	0.90	-0.45	18.45	18.45	200512
20051223	-3.60	3.40	-0.10	18.10	18.10	200512
20051224	-5.20	4.20	-0.50	18.50	18.50	200512
20051225	-3.60	1.70	-0.95	18.95	18.95	200512
20051226	-0.20	2.50	1.15	16.85	16.85	200512
20051227	-6.80	2.50	-2.15	20.15	20.15	200512
20051228	-6.30	-1.70	-4.00	22.00	22.00	200512
20051229	-6.20	0.20	-3.00	21.00	21.00	200512
20051230	-9.70	0.30	-4.70	22.70	22.70	200512
20051231	-3.70	3.00	-0.35	18.35	18.35	200512
20060101	1.00	8.30	4.65	13.35	13.35	200601
20060102	0.50	3.80	2.15	15.85	15.85	200601
20060103	-1.60	6.40	2.40	15.60	15.60	200601
20060104	-0.70	2.10	0.70	17.30	17.30	200601
20060105	-4.20	3.10	-0.55	18.55	18.55	200601
20060106	0.50	5.40	2.95	15.05	15.05	200601
20060107	-1.10	4.20	1.55	16.45	16.45	200601
20060108	-1.80	5.40	1.80	16.20	16.20	200601
